name,role,team,photo_id,photo_url,nationality,team_abbr,auction_price_cr,is_overseas,flag
Ishan Kishan,Wicket-Keeper,Sunrisers Hyderabad,164,https://www.iplt20.com/assets/images/PlayerImage/164.png,India,SRH,6.0,0,🇮🇳
Aniket Verma,Batter,Sunrisers Hyderabad,3576,https://www.iplt20.com/assets/images/PlayerImage/3576.png,India,SRH,0.0,0,🇮🇳
Smaran Ravichandran,Batter,Sunrisers Hyderabad,3752,https://www.iplt20.com/assets/images/PlayerImage/3752.png,India,SRH,0.0,0,🇮🇳
Salil Arora,Wicket-Keeper,Sunrisers Hyderabad,4556,https://www.iplt20.com/assets/images/PlayerImage/4556.png,India,SRH,0.0,0,🇮🇳
Heinrich Klaasen,Wicket-Keeper,Sunrisers Hyderabad,202,https://www.iplt20.com/assets/images/PlayerImage/202.png,South Africa,SRH,5.25,1,🇿🇦
Travis Head,Batter,Sunrisers Hyderabad,37,https://www.iplt20.com/assets/images/PlayerImage/37.png,Australia,SRH,6.8,1,🇦🇺
Harshal Patel,All-Rounder,Sunrisers Hyderabad,114,https://www.iplt20.com/assets/images/PlayerImage/114.png,India,SRH,4.0,0,🇮🇳
Kamindu Mendis,All-Rounder,Sunrisers Hyderabad,627,https://www.iplt20.com/assets/images/PlayerImage/627.png,Sri Lanka,SRH,4.5,1,🇱🇰
Harsh Dubey,All-Rounder,Sunrisers Hyderabad,1494,https://www.iplt20.com/assets/images/PlayerImage/1494.png,India,SRH,0.0,0,🇮🇳
Shivang Kumar,All-Rounder,Sunrisers Hyderabad,4561,https://www.iplt20.com/assets/images/PlayerImage/4561.png,India,SRH,0.0,0,🇮🇳
Krains Fuletra,All-Rounder,Sunrisers Hyderabad,4557,https://www.iplt20.com/assets/images/PlayerImage/4557.png,India,SRH,0.0,0,🇮🇳
Liam Livingstone,All-Rounder,Sunrisers Hyderabad,183,https://www.iplt20.com/assets/images/PlayerImage/183.png,England,SRH,8.5,1,🏴󠁧󠁢󠁥󠁮󠁧󠁿
R.S Ambrish,All-Rounder,Sunrisers Hyderabad,212,https://www.iplt20.com/assets/images/PlayerImage/212.png,India,SRH,0.0,0,🇮🇳
Abhishek Sharma,All-Rounder,Sunrisers Hyderabad,1944,https://www.iplt20.com/assets/images/PlayerImage/1944.png,India,SRH,14.0,0,🇮🇳
Nitish Kumar Reddy,All-Rounder,Sunrisers Hyderabad,33,https://www.iplt20.com/assets/images/PlayerImage/33.png,India,SRH,8.0,0,🇮🇳
Pat Cummins,Bowler,Sunrisers Hyderabad,3575,https://www.iplt20.com/assets/images/PlayerImage/3575.png,Australia,SRH,18.0,1,🇦🇺
Zeeshan Ansari,Bowler,Sunrisers Hyderabad,180,https://www.iplt20.com/assets/images/PlayerImage/180.png,India,SRH,0.0,0,🇮🇳
Jaydev Unadkat,Bowler,Sunrisers Hyderabad,3339,https://www.iplt20.com/assets/images/PlayerImage/3339.png,India,SRH,0.0,0,🇮🇳
Eshan Malinga,Bowler,Sunrisers Hyderabad,3104,https://www.iplt20.com/assets/images/PlayerImage/3104.png,Sri Lanka,SRH,3.0,1,🇱🇰
Sakib Hussain,Bowler,Sunrisers Hyderabad,4560,https://www.iplt20.com/assets/images/PlayerImage/4560.png,India,SRH,0.0,0,🇮🇳
Onkar Tarmale,Bowler,Sunrisers Hyderabad,4559,https://www.iplt20.com/assets/images/PlayerImage/4559.png,India,SRH,0.0,0,🇮🇳
Amit Kumar,Bowler,Sunrisers Hyderabad,4558,https://www.iplt20.com/assets/images/PlayerImage/4558.png,India,SRH,0.0,0,🇮🇳
Praful Hinge,Bowler,Sunrisers Hyderabad,1018,https://www.iplt20.com/assets/images/PlayerImage/1018.png,India,SRH,0.0,0,🇮🇳
Dilshan Madushanka,Bowler,Sunrisers Hyderabad,2535,https://www.iplt20.com/assets/images/PlayerImage/2535.png,Sri Lanka,SRH,0.0,1,🇱🇰
Gerald Coetzee,Bowler,Sunrisers Hyderabad,,,South Africa,SRH,0.0,1,🇿🇦
Rajat Patidar,Batter,Royal Challengers Bengaluru,597,https://www.iplt20.com/assets/images/PlayerImage/597.png,India,RCB,0.0,0,🇮🇳
Devdutt Padikkal,Batter,Royal Challengers Bengaluru,200,https://www.iplt20.com/assets/images/PlayerImage/200.png,India,RCB,0.0,0,🇮🇳
Virat Kohli,Batter,Royal Challengers Bengaluru,2,https://www.iplt20.com/assets/images/PlayerImage/2.png,India,RCB,21.0,0,🇮🇳
Phil Salt,Wicket-Keeper,Royal Challengers Bengaluru,1220,https://www.iplt20.com/assets/images/PlayerImage/1220.png,England,RCB,11.5,1,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Jitesh Sharma,Wicket-Keeper,Royal Challengers Bengaluru,1000,https://www.iplt20.com/assets/images/PlayerImage/1000.png,India,RCB,0.0,0,🇮🇳
Jordan Cox,Wicket-Keeper,Royal Challengers Bengaluru,3372,https://www.iplt20.com/assets/images/PlayerImage/3372.png,India,RCB,0.0,0,🇮🇳
Krunal Pandya,All-Rounder,Royal Challengers Bengaluru,17,https://www.iplt20.com/assets/images/PlayerImage/17.png,India,RCB,0.0,0,🇮🇳
Swapnil Singh,All-Rounder,Royal Challengers Bengaluru,1483,https://www.iplt20.com/assets/images/PlayerImage/1483.png,India,RCB,0.0,0,🇮🇳
Tim David,All-Rounder,Royal Challengers Bengaluru,636,https://www.iplt20.com/assets/images/PlayerImage/636.png,Singapore,RCB,8.0,1,🇸🇬
Romario Shepherd,All-Rounder,Royal Challengers Bengaluru,371,https://www.iplt20.com/assets/images/PlayerImage/371.png,India,RCB,0.0,0,🇮🇳
Jacob Bethell,All-Rounder,Royal Challengers Bengaluru,869,https://www.iplt20.com/assets/images/PlayerImage/869.png,England,RCB,0.0,1,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Venkatesh Iyer,All-Rounder,Royal Challengers Bengaluru,584,https://www.iplt20.com/assets/images/PlayerImage/584.png,India,RCB,0.0,0,🇮🇳
Satvik Deswal,All-Rounder,Royal Challengers Bengaluru,4555,https://www.iplt20.com/assets/images/PlayerImage/4555.png,India,RCB,0.0,0,🇮🇳
Mangesh Yadav,All-Rounder,Royal Challengers Bengaluru,4554,https://www.iplt20.com/assets/images/PlayerImage/4554.png,India,RCB,0.0,0,🇮🇳
Vicky Ostwal,All-Rounder,Royal Challengers Bengaluru,786,https://www.iplt20.com/assets/images/PlayerImage/786.png,India,RCB,0.0,0,🇮🇳
Vihaan Malhotra,All-Rounder,Royal Challengers Bengaluru,4012,https://www.iplt20.com/assets/images/PlayerImage/4012.png,India,RCB,0.0,0,🇮🇳
Kanishk Chouhan,All-Rounder,Royal Challengers Bengaluru,4016,https://www.iplt20.com/assets/images/PlayerImage/4016.png,India,RCB,0.0,0,🇮🇳
Josh Hazlewood,Bowler,Royal Challengers Bengaluru,,,Australia,RCB,0.0,1,🇦🇺
Rasikh Dar,Bowler,Royal Challengers Bengaluru,,,India,RCB,0.0,0,🇮🇳
Suyash Sharma,Bowler,Royal Challengers Bengaluru,,,India,RCB,0.0,0,🇮🇳
Bhuvneshwar Kumar,Bowler,Royal Challengers Bengaluru,,,India,RCB,0.0,0,🇮🇳
Abhinandan Singh,Bowler,Royal Challengers Bengaluru,,,India,RCB,0.0,0,🇮🇳
Jacob Duffy,Bowler,Royal Challengers Bengaluru,,,India,RCB,0.0,0,🇮🇳
Richard Gleeson,Bowler,Royal Challengers Bengaluru,,,India,RCB,0.0,0,🇮🇳
Yash Dayal,Bowler,Royal Challengers Bengaluru,,,India,RCB,0.0,0,🇮🇳
Shubham Dubey,Batter,Rajasthan Royals,3112,https://www.iplt20.com/assets/images/PlayerImage/3112.png,India,RR,0.0,0,🇮🇳
Vaibhav Sooryavanshi,Batter,Rajasthan Royals,3498,https://www.iplt20.com/assets/images/PlayerImage/3498.png,India,RR,0.0,0,🇮🇳
Donovan Ferreira,Wicket-Keeper,Rajasthan Royals,2033,https://www.iplt20.com/assets/images/PlayerImage/2033.png,India,RR,0.0,0,🇮🇳
Lhuan-dre Pretorious,Wicket-Keeper,Rajasthan Royals,2827,https://www.iplt20.com/assets/images/PlayerImage/2827.png,India,RR,0.0,0,🇮🇳
Aman Rao Perala,Batter,Rajasthan Royals,4552,https://www.iplt20.com/assets/images/PlayerImage/4552.png,India,RR,0.0,0,🇮🇳
Shimron Hetmyer,Batter,Rajasthan Royals,210,https://www.iplt20.com/assets/images/PlayerImage/210.png,West Indies,RR,0.0,1,🏝️
Yashasvi Jaiswal,Batter,Rajasthan Royals,533,https://www.iplt20.com/assets/images/PlayerImage/533.png,India,RR,18.0,0,🇮🇳
Dhruv Jurel,Wicket-Keeper,Rajasthan Royals,1004,https://www.iplt20.com/assets/images/PlayerImage/1004.png,India,RR,14.0,0,🇮🇳
Riyan Parag,All-Rounder,Rajasthan Royals,189,https://www.iplt20.com/assets/images/PlayerImage/189.png,India,RR,14.0,0,🇮🇳
Yudhvir Singh Charak,All-Rounder,Rajasthan Royals,587,https://www.iplt20.com/assets/images/PlayerImage/587.png,India,RR,0.0,0,🇮🇳
Emanjot Chahal,All-Rounder,Rajasthan Royals,46,https://www.iplt20.com/assets/images/PlayerImage/46.png,India,RR,0.0,0,🇮🇳
